"TIME","PARTNER","UNIT","NACE_R2","GEO","Value","Flag and Footnotes"
"2010","Europe","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","36,031,805",""
"2010","Europe","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","8,053,852",""
"2010","Europe","Number","Hotels and similar accommodation","Croatia","18,495,371",""
"2010","Europe","Number","Hotels and similar accommodation","Slovenia","5,521,263",""
"2010","Europe","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","Europe","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","7,927,201",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","522,810",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Hotels and similar accommodation","Croatia","3,142,763",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Hotels and similar accommodation","Slovenia","354,612",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","Spain","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","359,015",""
"2010","Spain","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","61,490",""
"2010","Spain","Number","Hotels and similar accommodation","Croatia","304,662",""
"2010","Spain","Number","Hotels and similar accommodation","Slovenia","46,002",""
"2010","Spain","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","Spain","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","France","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","1,174,903",""
"2010","France","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","117,561",""
"2010","France","Number","Hotels and similar accommodation","Croatia","892,091",""
"2010","France","Number","Hotels and similar accommodation","Slovenia","73,371",""
"2010","France","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","France","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","Croatia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","3,774,300",""
"2010","Croatia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","Croatia","Number","Hotels and similar accommodation","Croatia","2,333,206",""
"2010","Croatia","Number","Hotels and similar accommodation","Slovenia",":",""
"2010","Croatia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","357,844",""
"2010","Croatia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","Italy","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","3,067,167",""
"2010","Italy","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","952,343",""
"2010","Italy","Number","Hotels and similar accommodation","Croatia","1,507,672",""
"2010","Italy","Number","Hotels and similar accommodation","Slovenia","828,083",""
"2010","Italy","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","Italy","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","Austria","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","3,328,249",""
"2010","Austria","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","599,646",""
"2010","Austria","Number","Hotels and similar accommodation","Croatia","1,993,975",""
"2010","Austria","Number","Hotels and similar accommodation","Slovenia","499,393",""
"2010","Austria","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","Austria","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2010","Slovenia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","4,106,701",""
"2010","Slovenia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","3,744,285",""
"2010","Slovenia","Number","Hotels and similar accommodation","Croatia","1,176,469",""
"2010","Slovenia","Number","Hotels and similar accommodation","Slovenia","2,137,856",""
"2010","Slovenia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2010","Slovenia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","560,898",""
"2010","United Kingdom","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","912,848",""
"2010","United Kingdom","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","215,772",""
"2010","United Kingdom","Number","Hotels and similar accommodation","Croatia","773,214",""
"2010","United Kingdom","Number","Hotels and similar accommodation","Slovenia","179,064",""
