"TIME","PARTNER","UNIT","PURPOSE","DURATION","GEO","Value","Flag and Footnotes"
"2010","Europe","Number","Total","1 night or over","Croatia",":",""
"2010","Europe","Number","Total","1 night or over","Slovenia",":",""
"2010","Europe","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Europe","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Europe","Number","Total","4 nights or over","Croatia",":",""
"2010","Europe","Number","Total","4 nights or over","Slovenia",":",""
"2010","Europe","Number","Personal reasons","1 night or over","Croatia",":",""
"2010","Europe","Number","Personal reasons","1 night or over","Slovenia",":",""
"2010","Europe","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2010","Europe","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2010","Europe","Number","Personal reasons","4 nights or over","Croatia",":",""
"2010","Europe","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2010","Europe","Number","Professional, business","1 night or over","Croatia",":",""
"2010","Europe","Number","Professional, business","1 night or over","Slovenia",":",""
"2010","Europe","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","Europe","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","Europe","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","Europe","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Croatia","258,212",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Slovenia","127,000",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Croatia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Slovenia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Croatia","221,609",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Slovenia","37,000",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Croatia","42,438",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Slovenia","23,000",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Croatia","179,171",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Slovenia",":","u"
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Croatia","36,603",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Slovenia","90,000",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","Croatia","Number","Total","1 night or over","Croatia",":",""
"2010","Croatia","Number","Total","1 night or over","Slovenia",":",""
"2010","Croatia","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Croatia","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Croatia","Number","Total","4 nights or over","Croatia",":",""
"2010","Croatia","Number","Total","4 nights or over","Slovenia",":",""
"2010","Croatia","Number","Personal reasons","1 night or over","Croatia",":",""
"2010","Croatia","Number","Personal reasons","1 night or over","Slovenia",":",""
"2010","Croatia","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2010","Croatia","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2010","Croatia","Number","Personal reasons","4 nights or over","Croatia",":",""
"2010","Croatia","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2010","Croatia","Number","Professional, business","1 night or over","Croatia",":",""
"2010","Croatia","Number","Professional, business","1 night or over","Slovenia",":",""
"2010","Croatia","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","Croatia","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","Croatia","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","Croatia","Number","Professional, business","4 nights or over","Slovenia",":",""
"2010","Italy","Number","Total","1 night or over","Croatia","172,947",""
"2010","Italy","Number","Total","1 night or over","Slovenia","195,000",""
"2010","Italy","Number","Total","From 1 to 3 nights","Croatia",":",""
"2010","Italy","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2010","Italy","Number","Total","4 nights or over","Croatia",":",""
"2010","Italy","Number","Total","4 nights or over","Slovenia",":",""
"2010","Italy","Number","Personal reasons","1 night or over","Croatia","143,997",""
"2010","Italy","Number","Personal reasons","1 night or over","Slovenia","144,000",""
"2010","Italy","Number","Personal reasons","From 1 to 3 nights","Croatia","66,202",""
